"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Search non-existing user in table, using different data values","0","0","6","0","0"
"","","Checking of sorting in descending order by header name in web table","0","0","6","0","0"
"","","Filling email field by invalid values","0","0","31","0","0"
"","","Check that confirm alert is visible","0","0","1","0","0"
"","","Filling fields using different ways to create user","0","0","3","0","0"
"","","Checking intercepted requests through devtool","0","0","6","0","0"
"","","Click a define checkbox and check result","0","0","17","0","0"
"","","Check that small modal dialog window is visible and can be closed","0","0","1","0","0"
"","","Check that frame is visible and switchable","0","0","1","0","0"
"","","No radio button check","0","0","1","0","0"
"","Accordion Feature","Accordion Functionality Tests","0","0","7","0","0"
"","","Check that small modal dialog window can be closed","0","0","1","0","0"
"","","Checking of sorting in ascending order by header name in web table","0","0","6","0","0"
"","","Check that large modal dialog window can be closed","0","0","1","0","0"
"","","Radio buttons check","0","0","2","0","0"
"","","Check that new tab is opened","0","0","1","0","0"
"","","Filling fields with invalid email and changing it to valid values","0","0","1","0","0"
"","","Check that broken link refers to a page with 500 status code","0","0","1","0","0"
"","Auto complete features","Auto complete tests","0","0","2","0","0"
"","","Add multiple users from Excel file","0","0","3","0","0"
"","","Click checkbox randomly, and check result","0","0","1","0","0"
"","","Check that timer alert is visible","0","0","1","0","0"
"","","Add a new user and check him in search","0","0","1","0","0"
"","","Check that prompt alert is visible","0","0","1","0","0"
"","","Check that large modal dialog window is visible and can be closed","0","0","1","0","0"
"","Date Picker features","Date Picker tests","0","0","1","0","0"
"","Slider Feature","Slider component tests","0","0","5","0","0"
"","","Check that new window is opened","0","0","1","0","0"
"","","Delete a user from table","0","0","1","0","0"
"","","Fill practice form by valid values","0","0","3","0","0"
"","","Add a new user","0","0","1","0","0"
"","","Check that Broken image has 0x0 size","0","0","1","0","0"
"","","Check that frame 2 is visible and switchable","0","0","1","0","0"
"","","Check that alert is visible","0","0","1","0","0"
"","","Check that element will be enable in 5 seconds","0","0","1","0","0"
"","","Check that valid link refers to google.com","0","0","1","0","0"
"","","Mouse clicks","0","0","1","0","0"
